i:      0, sim time:  0.000, wall time:  0 seconds, Δt:  0.0101, advective CFL: 0.00e+00, diffusive CFL: 1.43e-02
i:    470, sim time:  7.262, wall time: 1.212 minutes, Δt:  0.0238, advective CFL: 7.58e-02, diffusive CFL: 3.37e-02
i:    480, sim time:  7.499, wall time: 1.213 minutes, Δt:  0.0238, advective CFL: 7.95e-02, diffusive CFL: 3.37e-02
i:    490, sim time:  7.737, wall time: 1.214 minutes, Δt:  0.0238, advective CFL: 8.33e-02, diffusive CFL: 3.37e-02
i:    500, sim time:  7.975, wall time: 1.215 minutes, Δt:  0.0262, advective CFL: 9.59e-02, diffusive CFL: 3.70e-02
i:    510, sim time:  8.235, wall time: 1.217 minutes, Δt:  0.0262, advective CFL: 1.01e-01, diffusive CFL: 3.70e-02
i:    520, sim time:  8.497, wall time: 1.218 minutes, Δt:  0.0262, advective CFL: 1.05e-01, diffusive CFL: 3.70e-02
i:    530, sim time:  8.758, wall time: 1.219 minutes, Δt:  0.0262, advective CFL: 1.10e-01, diffusive CFL: 3.70e-02
i:    540, sim time:  9.000, wall time: 1.220 minutes, Δt:  0.0262, advective CFL: 1.33e-01, diffusive CFL: 3.70e-02
i:    550, sim time:  9.262, wall time: 1.222 minutes, Δt:  0.0288, advective CFL: 2.12e-01, diffusive CFL: 4.07e-02
i:    560, sim time:  9.549, wall time: 1.223 minutes, Δt:  0.0288, advective CFL: 3.08e-01, diffusive CFL: 4.07e-02
i:    570, sim time:  9.837, wall time: 1.224 minutes, Δt:  0.0288, advective CFL: 4.33e-01, diffusive CFL: 4.07e-02
i:    580, sim time:  10.115, wall time: 1.226 minutes, Δt:  0.0288, advective CFL: 5.54e-01, diffusive CFL: 4.07e-02
i:    590, sim time:  10.403, wall time: 1.227 minutes, Δt:  0.0288, advective CFL: 6.34e-01, diffusive CFL: 4.07e-02
i:    600, sim time:  10.690, wall time: 1.229 minutes, Δt:  0.0187, advective CFL: 5.00e-01, diffusive CFL: 2.65e-02
i:    610, sim time:  10.877, wall time: 1.230 minutes, Δt:  0.0187, advective CFL: 5.36e-01, diffusive CFL: 2.65e-02
i:    620, sim time:  11.056, wall time: 1.231 minutes, Δt:  0.0187, advective CFL: 5.71e-01, diffusive CFL: 2.65e-02
i:    630, sim time:  11.243, wall time: 1.233 minutes, Δt:  0.0187, advective CFL: 6.10e-01, diffusive CFL: 2.65e-02
i:    640, sim time:  11.430, wall time: 1.234 minutes, Δt:  0.0187, advective CFL: 6.35e-01, diffusive CFL: 2.65e-02
i:    650, sim time:  11.617, wall time: 1.235 minutes, Δt:  0.0148, advective CFL: 5.00e-01, diffusive CFL: 2.09e-02
i:    660, sim time:  11.765, wall time: 1.236 minutes, Δt:  0.0148, advective CFL: 4.92e-01, diffusive CFL: 2.09e-02
i:    670, sim time:  11.912, wall time: 1.237 minutes, Δt:  0.0148, advective CFL: 4.81e-01, diffusive CFL: 2.09e-02
i:    680, sim time:  12.059, wall time: 1.239 minutes, Δt:  0.0148, advective CFL: 4.70e-01, diffusive CFL: 2.09e-02
i:    690, sim time:  12.207, wall time: 1.240 minutes, Δt:  0.0148, advective CFL: 4.88e-01, diffusive CFL: 2.09e-02
